teacher	name_of_class	block	task	total_students	week_num	min_1	min_2	min_3	min_4	min_5
shellenberger	geometry	b5	solving_equations	23	1	0	0	0	0	0
shellenberger	geometry	b5	four_fours	21	2	1	0	0	0	0
shellenberger	geometry	b5	open_middle	22	3	1	1	2	1	0
shellenberger	geometry	b5	rebus_puzzles	21	4	1	0	1	0	1
shellenberger	geometry	b5	logic_puzzles	23	5	0	1	0	0	0
shellenberger	geometry	w2	solving_equations	23	1	0	0	0	0	0
shellenberger	geometry	w2	four_fours	22	2	1	1	0	0	0
shellenberger	geometry	w2	open_middle	22	3	0	1	2	1	2
shellenberger	geometry	w2	rebus_puzzles	23	4	0	0	1	0	1
shellenberger	geometry	w2	logic_puzzles	21	5	1	1	2	0	2
shellenberger	geometry	w3	solving_equations	24	1	0	0	0	0	0
shellenberger	geometry	w3	four_fours	25	2	2	0	0	0	2
shellenberger	geometry	w3	open_middle	24	3	1	2	1	2	1
shellenberger	geometry	w3	rebus_puzzles	24	4	1	1	2	0	1
shellenberger	geometry	w3	logic_puzzles	23	5	1	0	1	2	2
shellenberger	geometry	w5	solving_equations	22	1	0	0	0	0	0
shellenberger	geometry	w5	four_fours	24	2	1	0	0	0	0
shellenberger	geometry	w5	open_middle	21	3	0	0	3	1	2
shellenberger	geometry	w5	rebus_puzzles	23	4	1	0	2	1	2
shellenberger	geometry	w5	logic_puzzles	24	5	0	0	1	2	3
